x03103118,Emerentze_Munch,1786-1868,1786
x90108279,Jan_Henrik_Munksgaard,1943-,1943
x90051817,Alice_Munro,1931-,1931
x90168523,Margrethe_Munthe,1860-1931,1860
x90667003,Haruki_Murakami,1949-,1949
x00066212,Beate_Muri,1961-,1961
x90093240,Rudolf_Muus,1862-1935,1862
x90081015,Magne_Myhra,1930-,1930
x04086313,Tove_Myhre,1964-,1964
x98080267,Arne_Bust_Mykle,1937-,1937
x05029886,Hilde_Myklebust,1979-,1979
x90858884,Peter_Mykleset,1951-,1951
x90162918,Finn_Myrvang,1937-,1937
x00063563,Jane_Mysen,1960-,1960
x97052909,Lars_Mytting,1968-,1968
x03056133,Amund_Maarud,1981-,1981
x97047671,Lars_Mæhle,1971-,1971
x99003575,Synne_Sæther_Mæhle,1973-,1973
x90054169,Ingebjørg_Mælandsmo,1898-1981,1898
x90052626,Arvid_Møller,1939-,1939
x90546364,Poul_Martin_Møller,1794-1838,1794
x90074805,Sidsel_Mørck,1937-,1937
x90617020,Hans_Olav_Mørk,1956-,1956
x90107903,Lornts_Mørkved,1950-,1950
x90056388,Vladimir_Nabokov,1899-1977,1899
x08024983,Gylve_Fenris_Nagell,1971-,1971
x12068540,Bård_Nannestad,1967-,1967
x90327456,Odd_Nansen,1901-1973,1901
x02093413,Lars_Christian_Narum,1970-,1970
x90244556,Arnved_Nedkvitne,1947-,1947
x90163500,Tore_Nedrebø,1957-,1957
x90637291,Gudlaug_Nedrelid,1952-,1952
x90059295,Torborg_Nedreaas,1906-1987,1906
x13001352,Geir_Negård,1968-,1968
x04000064,Teddy_Nelson,1939-1992,1939
x00056703,Willie_Nelson,1933-,1933
x90381094,Odd_Nerdrum,1944-,1944
x10012998,Kjetil_Nernes,1979-,1979
x90177454,Oddvar_Nes,1938-,1938
x02065876,Knut_Nesbø,1961-2013,1961
x90080252,Siri_Ness,1946-,1946
x90060921,Åse-Marie_Nesse,1934-2001,1934
x90966768,Håkan_Nesser,1950-,1950
x08039353,Vegar_Leirvik_Nesset,1974-,1974
x01080169,Grethe_Nestor,1968-,1968
x00044446,Randy_Newman,1943-,1943
x90352308,Eirik_Newth,1964-,1964
x90066413,Mette_Newth,1942-,1942
x90066412,Philip_Newth,1939-,1939
x90353527,John_Newton,1725-1807,1725
x90704390,Johan_Nicolaisen,1847-1929,1847
x90068664,Marit_Nicolaysen,1953-,1953
x11031782,Astrid_Luisa_Niebuhr,1994-,1994
x90090102,Christopher_Nielsen,1963-,1963
x90746152,Frode_Nielsen,1963-,1963
x03109811,Jan_Henrik_Nielsen,1974-,1974
x90097616,Jóanes_Nielsen,1953-,1953
x90093901,Nils-Fredrik_Nielsen,1945-2005,1945
x90077153,Otto_Nielsen,1909-1982,1909
x90634693,Torben_Nielsen,1918-11-03-,1918
x90634695,Torben_Nielsen,1918-04-22-,1918
x90063845,Unni_Nielsen,1942-2005,1942
x90065768,Yngvar_Nielsen,1843-1916,1843
x90928432,Mikael_Niemi,1959-,1959
x04017630,Audrey_Niffenegger,1963-,1963
x90542795,Bjørn_Nilsen_(forfatter),1934-,1934
x90059355,Fritz_Nilsen,1939-2000,1939
x90950931,Kjell_Arild_Nilsen,1951-,1951
x90059757,Lillebjørn_Nilsen,1950-,1950
x90823157,Ole-Mikal_Nilsen,1955-,1955
x98030848,Rolf_Just_Nilsen,1931-1981,1931
x90079272,Rudolf_Nilsen,1901-1929,1901
x90898044,Svein_Roger_Nilsen,1967-,1967
x98056122,Olaug_Nilssen,1977-,1977
x90721618,Stig_Nilsson,1952-,1952
x90124150,Ragnhild_Nilstun,1943-,1943
x09035290,Gunn_Marit_Nisja,1978-,1978
x02102882,Frida_Nome,1972-,1972
x11062508,Magnus_Nome,1980-,1980
x08004232,Viggo_Nonås,1975-,1975
x90934935,Henrik_Nor-Hansen,1967-,1967
x04031068,Eva_Norberg,1915-2004,1915
x11036020,Johan_Norberg,1973-,1973
x07072987,Tora_Marie_Norberg,1972-,1972
x90362589,Thomas_Nordahl,1958-,1958
x10070357,Ola_Nordal,1979-,1979
x99058254,Astrid_Nordang,1964-,1964
x90119918,Harald_Nordberg,1949-,1949
x90850724,Nils_Håkon_Nordberg,1968-,1968
x90060610,Terje_Nordberg,1949-,1949
x90060028,Terje_Nordby,1949-,1949
x90135770,Halvor_Nordbø,1893-1967,1893
x09055970,Torolf_Nordbø,1956-,1956
x90161861,Frederik_Ludvig_Norden,1708-1742,1708
x02035185,Jørgen_Nordeng,1978-,1978
x90680959,Per_Anders_Nordengen,1953-,1953
x14012138,Asta_Olivia_Nordenhof,1988-,1988
x90053948,Ole_Nordgaard,1862-1931,1862
x90118487,Liv_Nordhaug,1926-2002,1926
x90052520,Odd_Nordhaug,1953-2013,1953
x90086276,Eva_Nordland,1921-2012,1921
x90215972,Sven_Nordqvist,1946-,1946
x90054013,Olav_Nordrå,1919-1994,1919
x08075429,Thomas_Nordseth-Tiller,1980-2009,1980
x98058952,Odd_Nordstoga,1972-,1972
x90074454,Sveinung_Nordstoga,1954-,1954
x07063521,Aslak_Nore,1978-,1978
x90098726,Lars_Norén,1944-,1944
x11026077,Jan_Tore_Noreng,1968-,1968
x90360455,Jørgen_Norheim,1952-,1952
x90732123,Pål_Norheim,1962-,1962
x90983925,Andreas_Norland,1935-,1935
x90877039,Natalie_Normann,1962-,1962
x90057388,Regine_Normann,1867-1939,1867
x90098302,Henry_Notaker,1941-,1941
x90052748,Novalis,1772-1801,1772
x98054332,Paal_Nupen,1970-,1970
